Tamaño,Productividad,Rentabilidad,web_visit,web_hosp,web_history,web_DO,web_infr,web_experience,long,lat
15.2216649328836,-6.22114279837639,1.23734394495641,0.692,0.778,0.778,0.778,0.708,0.875,-1.89044,42.30338
10.0205482300968,-2.84702199974152,0.0990817054091986,0.769,0.556,0.889,0.667,0.5,1.0,-0.88201,38.80837
12.2079714031797,-4.2729509345908,0.619883130240131,0.846,0.778,0.889,0.667,0.792,1.0,-1.21959697,41.34032988
11.3339584506526,-1.13269822524223,0.338279073254112,0.846,0.667,0.889,0.667,0.667,1.0,-2.44696,42.47235
9.61251683455356,-0.77808941668933,0.108083275665784,0.692,0.259,0.222,0.444,0.583,0.75,-8.83645112,41.91477381
7.11380454213346,-2.14969186339251,-0.49939537687978,0.538,0.593,0.556,0.778,0.583,0.875,-1.47479,41.76167
6.7701596825543,-2.24254126664859,-0.131328890412106,0.769,0.444,0.667,1.0,0.5,0.875,-3.386554,38.937974
7.35665997826338,-1.8752706104731,0.4506224170732,0.769,0.741,0.778,0.889,0.833,0.875,-1.12454,39.50375
6.29425225546102,-1.12736311445931,-1.30978747677603,0.462,0.444,0.222,0.333,0.375,0.5,-6.33599,38.56454
7.33481588706974,0.137334161827163,0.838444124133289,0.769,0.444,0.444,0.556,0.542,0.875,-1.32328,38.48769
6.70192393803876,-2.80004571756587,0.468978027404816,0.846,0.556,0.889,0.667,0.667,0.875,1.7031,41.34312
6.55362478464535,1.42581933724915,-1.36046016490755,0.923,0.926,0.667,0.778,0.792,0.875,-4.14236118,41.53652838
7.70051509717301,0.0264281244708122,1.65930619093051,0.692,0.704,0.667,0.667,0.625,1.0,1.78328,41.42522
7.29231040557258,-1.69798905790196,1.27636681616181,0.769,0.889,0.556,0.556,0.917,0.875,-3.69,40.41637
5.58429601349447,-2.33193962816068,0.549756591259503,0.385,0.333,0.556,0.778,0.333,0.625,-6.44662,38.52736
3.89688505641883,0.63041526955288,-0.731268934483488,0.308,0.37,0.333,0.333,0.375,0.5,-1.31363,38.4712
6.26542581308008,-2.6711987033061,-0.168395348012381,0.769,0.556,0.556,0.667,0.5,0.875,-2.40929,42.45974
6.62417356641608,-0.449285911537404,-0.5552193648083,0.308,0.074,0.0,0.0,0.083,0.0,-3.686687,41.726664
8.58757971884715,-2.84963963990506,0.395092401332603,0.385,0.222,0.556,0.667,0.458,0.75,-3.386554,38.937974
5.85011413915433,0.840088995696932,-0.204611963573777,0.385,0.259,0.333,0.222,0.458,0.5,-1.79943664,42.45132729
4.72298556602363,-2.04664967876532,0.518349338950086,0.846,0.519,1.0,0.667,0.708,0.875,-1.13122,38.62056
3.98257554793054,-1.00929305643065,0.0603219602944422,0.923,0.667,0.778,0.667,0.75,0.875,-5.0131676,41.49217101
4.74408427182754,-0.412640302981681,0.462496608233946,0.615,0.444,0.556,0.667,0.667,0.875,-2.43549,42.50048
4.95824361488882,-1.19296209932857,0.050786580061917,0.923,0.741,0.778,0.667,0.75,1.0,1.7964459,41.3813711
3.23854269137295,-0.905278763048113,-0.170245435279215,0.769,0.63,0.667,0.556,0.458,0.875,-1.153474,38.61637
3.08781211343073,-3.94836436287827,-0.189883276832288,0.462,0.259,0.333,0.444,0.333,0.5,-1.80191,42.0861
4.8416970038823,1.84544075549306,-1.17730980513445,0.846,0.63,0.667,0.556,0.625,1.0,-4.100402,41.638687
5.41797331998882,2.14602112076592,0.586602816814374,0.846,0.556,0.667,0.667,0.708,0.875,-1.75576,42.17787
5.03577356991033,1.60898707590432,-1.64524572788482,0.846,0.667,0.556,0.667,0.583,0.875,-1.89044,42.30338
4.16250112673924,-0.0909917869183811,1.31036228991391,0.769,0.519,1.0,0.667,0.542,0.75,-13.6473527,29.00113617
4.67233748859969,2.29125472065001,-0.0806084699978894,0.846,0.556,0.444,0.667,0.625,1.0,-4.86269,41.45851
3.42355447540688,-1.1807738843749,0.0300269862885157,0.769,0.556,0.556,0.444,0.625,0.875,-4.01517902,41.5755421
2.93093519480447,-3.24278113088793,-0.395816500400161,0.846,0.63,0.556,0.889,0.75,1.0,-3.68192,40.46731
5.75658654869925,1.36443455483327,1.18554566196325,0.769,0.63,0.556,0.667,0.417,0.75,-3.98644,41.71207
4.80347166389497,2.57509699279733,0.554482137440383,0.692,0.556,0.556,0.556,0.5,0.875,-3.96391,41.61405
4.07507661799135,-1.94193791297542,-0.231861961931374,0.692,0.481,0.667,0.667,0.667,1.0,-2.58739,42.46245
5.11000040746109,2.27077770801679,0.961718037090687,0.846,0.296,0.444,0.556,0.458,0.875,-3.87541,41.74104
3.65653618607403,0.0186267172848048,0.484515976197169,0.692,0.296,0.667,0.556,0.458,0.875,-4.86072,41.45756
4.29481095512862,1.62957594627617,0.327456213526861,0.615,0.259,0.444,0.667,0.208,0.875,-1.3285417,38.4735408
2.98069209108723,2.24281334258404,-1.03827401331025,0.769,0.333,0.444,0.556,0.5,0.75,-3.21751,39.38855
