longitud,latitud,Enotourism,valoracion,n_valoraciones,esta_trip,total_visits_similar,Antiguedad.empresa,Tamaño,Productividad,Rentabilidad
-8.82142956,41.91425673,0,,,0,2800.0,38,1.50437921356458,0.821397619872087,-0.274378746651152
-8.80281,42.49431,0,5.0,6.0,0,,38,-1.54458894122,-0.184172479929629,0.0007871382858623
-8.80358803,42.48977749,0,4.7,78.0,1,9700.0,36,7.02121597896755,-0.657867797501103,-0.731020819995728
-8.83645112,41.91477381,1,4.6,261.0,1,11600.0,35,9.60135830058179,-0.942316425035675,0.133114396683271
-8.31070477,42.11458963,0,4.8,65.0,0,2100.0,35,1.91797405433978,1.12586889111021,0.213928241201197
-8.83645112,41.91477381,1,4.9,20.0,0,3500.0,24,1.89725368630657,0.02855700798643,-1.03078058281748
-8.26278,42.13404,0,4.6,49.0,1,10600.0,37,4.93841845909946,0.355970508898307,0.917890348910929
-4.55105,41.18968,0,4.6,37.0,0,7200.0,36,0.54364059270795,-1.20445078756559,-0.66819728066062
-3.4950898,41.5591085,0,5.0,21.0,0,1000.0,26,0.760364079188999,-0.395199577098371,0.374362396588621
1.10855,41.13483,1,4.7,123.0,0,8600.0,120,2.71862541182639,-0.775936158677212,0.432107624783911
1.0777,41.15963,0,4.2,38.0,0,12500.0,50,3.28686067923531,6.49732105033214e-05,1.19963301814754
1.232866,41.115385,0,,,0,,44,1.47235982528802,1.47866693645099,-0.780279150081548
1.205585,41.406645,1,4.6,66.0,1,5800.0,36,-0.145118437867891,-1.35407556067218,-0.81909039589805
-0.37365641,40.89655147,1,4.6,26.0,1,1400.0,22,-1.6395415380974,-0.364949391681167,0.207970049415289
-3.12923847,39.60096754,0,4.3,28.0,0,932.0,40,11.9865575597726,-1.70076071491785,0.621966033830789
-2.43549,42.50048,1,,,0,12100.0,25,4.80908723307753,-0.555388851485045,0.394665178429666
-3.226497,39.410389,0,4.1,22.0,0,1200.0,59,2.27848353016041,1.55241076525403,-2.03661535842762
-1.35486015,39.48564081,0,4.7,17.0,0,166.0,56,0.98771305277063,-0.165754186271885,0.0702154412485802
-3.68707,40.44915,0,,,0,2700.0,82,5.92970292544446,3.52414496176772,0.296558316041619
-4.86072,41.45756,1,,,0,10000.0,50,3.6837424501499,-0.114584610733792,0.413541772846364
-3.93508675,41.755933,1,4.5,20.0,0,3700.0,26,0.164218941176881,0.502875714340578,-0.186339377252095
-5.18684,41.510663,0,5.0,19.0,0,5500.0,25,4.99988728192053,3.354523059912,0.621147665279477
-4.01517902,41.5755421,1,4.7,303.0,0,29400.0,22,3.49798441970677,-1.30412339205553,0.0228947602335386
-5.1416,42.24451,0,4.8,19.0,0,,19,-0.962497982954899,0.02486069451665,0.401374481264775
-2.58649189,42.54903767,0,4.3,49.0,0,5400.0,50,6.54087190719526,-0.560823728559228,-0.344363866843117
-2.785808,42.58407,0,4.7,11.0,0,1800.0,42,-0.488156454023213,0.103666934018856,-0.138548936135937
-2.67753,43.30676,0,4.8,8.0,0,480.0,40,-0.0656868599196778,-0.336054679574762,0.0078339395762594
-5.67486,42.00117,1,4.6,25.0,0,3700.0,59,-0.764378377412148,-0.449281923997375,0.230802665172581
-5.40309,41.52598,0,,,0,4900.0,26,0.291645550078867,-0.147039828294275,-0.0383730082466768
-0.68341,41.60163,0,,,0,3400.0,40,0.928154640279892,-1.13820879006706,-0.0291779101898547
-1.21959697,41.34032988,1,4.5,131.0,1,28800.0,27,12.1993834552467,-4.3316393590296,0.403235827055218
